Nr;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24;M25;Poz1;Poz2;Poz3;Poz4;Poz5;Poz6;Poz7;Poz8;Poz9;Poz10;Poz11;Poz12;Poz13;Poz14;Poz15;Poz16;Poz17;Poz18;Poz19;Poz20;Poz21;Poz22;Poz23;Poz24;Poz25;Zaw1;Zaw2;Zaw3;Zaw4;Zaw5;Zaw6;Zaw7;Zaw8;Zaw9;Zaw10;Zaw11;Zaw12;Zaw13;Zaw14;Zaw15;Zaw16;Zaw17;Zaw18;Zaw19;Zaw20;Zaw21;Zaw22;Zaw23;Zaw24;Zaw25;Zam1;Zam2;Zam3;Zam4;Zam5;Zam6;Zam7;Zam8;Zam9;Zam10;Zam11;Zam12;Zam13;Zam14;Zam15;Zam16;Zam17;Zam18;Zam19;Zam20;Zam21;Zam22;Zam23;Zam24;Zam25;LG1;LG2;LG3;LG4;LG5;LG6;LG7;LG8;LG9;LG10;LG11;LG12;LG13;LG14;LG15;LG16;LG17;LG18;LG19;LG20;LG21;LG22;LG23;LG24;LG25;PGL1;PGL2;PGL3;PGL4;PGL5;PGL6;PGL7;PGL8;PGL9;PGL10;PGL11;PGL12;PGL13;PGL14;PGL15;PGL16;PGL17;PGL18;PGL19;PGL20;PGL21;PGL22;PGL23;PGL24;PGL25;PGO1;PGO2;PGO3;PGO4;PGO5;PGO6;PGO7;PGO8;PGO9;PGO10;PGO11;PGO12;PGO13;PGO14;PGO15;PGO16;PGO17;PGO18;PGO19;PGO20;PGO21;PGO22;PGO23;PGO24;PGO25;Mn1;Mn2;Mn3;Mn4;Mn5;Mn6;Mn7;Mn8;Mn9;Mn10;Mn11;Mn12;Mn13;Mn14;Mn15;Mn16;Mn17;Mn18;Mn19;Mn20;Mn21;Mn22;Mn23;Mn24;Mn25;Z1;Z2;Z3;Z4;Z5;Z6;Z7;Z8;Z9;Z10;Z11;Z12;Z13;Z14;Z15;Z16;Z17;Z18;Z19;Z20;Z21;Z22;Z23;Z24;Z25
1;WITEK Eløbieta Barbara;BORYS Piotr;LIPI—SKI Adam JÛzef;SEKU£A-SZMAJDZI—SKA Ma≥gorzata Helena;KUB”W Krzysztof Jan;CZERNOW Zofia;MACHA£EK Marzena Anna;ZUBOWSKI Wojciech Micha≥;KROPIWNICKI Robert;OBAZ Robert Marcin;ØUK Stanis≥aw Adam;SZYMA—SKA Ewa Zofia;DROZD Ewa;POGODA Szymon Marek;UTECHT Waldemar Arkadiusz;ZBRZYZNY Ryszard;BABUåKA Adam;KRAWCZYK Iwona Ma≥gorzata;MARCINIAK Wojciech;ZEMBIK Teresa;BARANOWSKA Dorota;FILACZY—SKA Kaja;RYPI—SKI JÛzef;SAMBORSKI Tadeusz;SIKORA Konrad Jerzy;2;1;1;1;4;2;3;5;3;2;1;6;5;10;1;4;8;4;11;7;7;3;9;2;9;parlamentarzysta;przedstawiciel w≥adzy samorzπdowej - radny;ekonomista;adwokat;parlamentarzysta;parlamentarzystka;parlamentarzysta;parlamentarzysta;parlamentarzysta;inøynier telekomunikacji;menedøer;bieg≥y rewident;parlamentarzystka;kierownik biura;politolog;inøynier gÛrnik;przedstawiciel w≥adzy samorzπdowej - Starosta;parlamentarzysta;filolog;nauczyciel informatyki/ technologii informacyjnej;nauczyciel;lekarka;fizyk;emeryt - historyk;urzÍdnik samorzπdowy;Jawor;Lubin;Warszawa;Warszawa;Lubin;Jelenia GÛra;Jelenia GÛra;G≥ogÛw;Legnica;Jelenia GÛra;ZawidÛw;Legnica;G≥ogÛw;Boles≥awiec;Sieradz;Osiek;Nowa Wieú Legnicka;CzadrÛw;Sobin;LubaÒ;Zgorzelec;Legnica;Jelenia GÛra;RogÛw Legnicki;Jelenia GÛra;46171;35064;33269;41480;23834;15761;22481;12868;14714;4205;7694;8930;9671;4876;6358;4107;3361;8081;3293;3284;5003;4045;3167;5703;3843;25,18;32,41;18,14;58,37;13;14,57;12,26;7,02;13,6;5,92;24,81;4,87;8,94;2,66;25,11;5,78;1,83;7,47;1,8;1,79;4,62;5,69;1,73;18,39;3,55;10,68;8,11;7,69;9,59;5,51;3,64;5,2;2,98;3,4;0,97;1,78;2,07;2,24;1,13;1,47;0,95;0,78;1,87;0,76;0,76;1,16;0,94;0,73;1,32;0,89;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;429;31;216;334;196;57;225;454;187;272;459;380;0;0;0;0;0;0;0;0;0;0;0;0;0
2;DWORCZYK Micha≥ Pawe≥;SIEMONIAK Tomasz;ZYSKA Ireneusz;WIELICHOWSKA Monika;GW”èDè Marcin Piotr;DYDUCH Marek;MRZYG£OCKA Izabela Katarzyna;MURDZEK Wojciech Piotr;GRZEGORZEWICZ Grzegorz S≥awomir;MITRASZEWSKI Tomasz £ukasz;GANCARZ Pawe≥ Jaros≥aw;SURMA Renata Lucyna;ONYåK”W Pawe≥;KOTARBA Mariusz;BADORA Maciej Adam;£AMBUCKI Roman;åWI£O Teresa;BIELAWSKA Zuzanna;GLAPI—SKI Rafa≥ Mariusz;WIERZBICKA Renata Teresa;LECH Kornelia Joanna;DEC Jerzy Grzegorz;IWANCZ Jacek Julian;MUCHA Beata Maria;RUDNICKI Jaros≥aw Jerzy;1;1;2;3;5;1;2;3;16;5;1;7;10;2;4;1;6;6;7;15;3;9;14;8;5;historyk;ekonomista;radca prawny;ekonomista;inøynier;przedsiÍbiorca;ekonomista;parlamentarzysta;prawnik;przedsiÍbiorca;wyøszy urzÍdnik samorzπdowy;wyøszy urzÍdnik samorzπdowy;urzÍdnik;wyk≥adowca akademicki;adwokat;ekonomista;emeryt;wyøszy urzÍdnik samorzπdowy;nauczyciel;administratywistka;pedagog;nauczyciel geografii;nauczyciel;pracownik administracji rzπdowej;ekonomista;Warszawa;Warszawa;åwiebodzice;Nowa Ruda;Zπbkowice ålπskie;Wroc≥aw;Wa≥brzych;åwidnica;Jaworzyna ålπska;DzierøoniÛw;Stoszowice;Stary WaliszÛw;Zπbkowice ålπskie;Wa≥brzych;Wa≥brzych;Stronie ålπskie;åwidnica;Pi≥awa GÛrna;Wa≥brzych;Wa≥brzych;åwidnica;BoøkÛw;åwidnica;Wa≥brzych;DzierøoniÛw;58426;45395;10688;15399;8049;14451;11987;6354;4168;4137;7615;3931;2219;6393;3683;6641;2085;3561;1677;3425;3390;2834;1614;2696;3194;50,93;49,99;9,32;16,96;7,02;41,34;13,2;5,54;3,63;4,56;37,1;3,43;2,44;18,29;3,21;43,28;2,3;3,1;1,85;2,99;9,7;2,47;1,78;2,35;15,56;20,65;16,04;3,78;5,44;2,84;5,11;4,24;2,25;1,47;1,46;2,69;1,39;0,78;2,26;1,3;2,35;0,74;1,26;0,59;1,21;1,2;1;0,57;0,95;1,13;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;71;341;456;424;126;72;254;259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;STACHOWIAK-R”ØECKA Miros≥awa Agnieszka;SCHETYNA Grzegorz Juliusz;CZARNECKI Przemys≥aw Maksymilian;JAROS Micha≥;åMISZEK Krzysztof Jan;åWIAT Jacek;TRACZ Ma≥gorzata Eløbieta;HRENIAK Pawe≥ Marek;PIECHOTA S≥awomir Jan;DZIEMIANOWICZ-B•K Agnieszka Ewa;TUDUJ Krzysztof;SOIN Agnieszka Anna;MIESZKOWSKI Krzysztof;PROTASIEWICZ Jacek;J DRYSEK Mariusz Orion;AUGUSTYNOWSKA Joanna Wiktoria;STOØEK Marta Magdalena;DYTKO Piotr Jan;M£Y—CZAK Aldona Janina;BARTNIK Wojciech Stanis≥aw;G”RSKI Micha≥ Jakub;CALI—SKA-MAYER Ma≥gorzata Maria;SIKORA Arkadiusz;IWASZKIEWICZ Robert Jaros≥aw;HORODYSKA Anna Maria;1;1;4;3;1;3;2;2;4;28;1;8;7;1;7;6;2;9;5;12;10;5;3;2;8;pedagog;parlamentarzysta;parlamentarzysta;parlamentarzysta;prawnik;parlamentarzysta;specjalista do spraw szkoleÒ;ekonomista;radca prawny;pedagog;prawnik;parlamentarzysta;kulturoznawca;parlamentarzysta;nauczyciel akademicki - nauki o ziemi;ekonomista;filolog;prawnik;parlamentarzysta;sportowiec;przedsiÍbiorca;prawnik;ekonomista;inøynier budownictwa;urzÍdnik samorzπdowy;Wroc≥aw;Wroc≥aw;Wroc≥aw;Wroc≥aw;Warszawa;Wroc≥aw;Wroc≥aw;Wroc≥aw;Wroc≥aw;Wroc≥aw;PrÍøyce;Wroc≥aw;Wroc≥aw;Radomierzyce;Wroc≥aw;Wroc≥aw;Wroc≥aw;£ozina;Wroc≥aw;Oleúnica;Wroc≥aw;Wroc≥aw;Oleúnica;Wroc≥aw;Szczawin;91236;66859;19413;30196;43447;15537;28676;15166;14844;14257;19617;14716;13814;17618;12857;10804;10212;7863;10342;6512;5980;6342;8510;9427;5501;40,21;31,15;8,56;14,07;43,08;6,85;13,36;6,68;6,92;14,14;40,22;6,49;6,44;41,68;5,67;5,03;10,13;3,47;4,82;2,87;2,79;2,79;8,44;19,33;2,56;13,94;10,22;2,97;4,61;6,64;2,37;4,38;2,32;2,27;2,18;3;2,25;2,11;2,69;1,96;1,65;1,56;1,2;1,58;1;0,91;0,97;1,3;1,44;0,84;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;358;330;51;144;385;388;397;137;293;75;401;350;244;310;0;0;0;0;0;0;0;0;0;0;0
4;LATOS Tomasz Edward;ZWIEFKA Tadeusz Antoni;SCHREIBER £ukasz Pawe≥;OLSZEWSKI Pawe≥ Bartosz;GAWKOWSKI Krzysztof Kamil;KOZANECKA Ewa Eløbieta;£OåKO Magdalena;KOWNACKI Bartosz JÛzef;KURZAWA Dariusz;KOZ£OWSKA Iwona Maria;SZOPI—SKI Jan JÛzef;KR”L Piotr Marek;SYPNIEWSKI Marcin;POGODA Tadeusz Grzegorz;STACHOWIAK Ireneusz;WRO—SKI Marcin;SZCZ SNY Wojciech;JELENIEWSKI Marek Krzysztof;SZABELSKA Graøyna Edyta;SIKORA Krzysztof Gustaw;NITKIEWICZ Ireneusz Micha≥;KOWALIK Jerzy;STASI—SKI Micha≥ JÛzef;NOWAK Izabela Anna;WITKOWSKI Marek Leon;1;1;2;2;1;5;5;4;1;3;2;3;1;7;8;7;24;6;11;2;4;9;6;4;6;lekarz;prawnik;pose≥ na Sejm RP;ekonomista;nauczyciel akademicki - nauki humanistyczne;ekonomista;pedagog;adwokat;pracownik samorzπdowy;pedagog;ekonomista;politolog;prawnik;inøynier elektryk;politolog;inøynier rolnictwa;lekarz;prawnik;nauczyciel akademicki - nauki humanistyczne;fizyk;specjalista do spraw logistyki;pracownik administracji rzπdowej;prawnik;specjalista organizacji i zarzπdzania w ochronie zdrowia;pracownik administracji rzπdowej;Bydgoszcz;PoznaÒ;Bydgoszcz;Bydgoszcz;Wo≥omin;Bydgoszcz;Inowroc≥aw;Janki;Rzeszynek;Zabartowo;Bydgoszcz;Bydgoszcz;Morzewiec;åwiecie;Inowroc≥aw;Inowroc≥aw;OÊwieka;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Tuchola;Bydgoszcz;Nowy Tomyúl;WiÍcbork;60132;39984;30053;35762;30859;13305;14407;12414;17648;9325;11821;10418;17873;8388;9432;6469;7774;5676;3645;2768;6378;2550;4559;4266;2514;35,89;27,99;17,94;25,04;44,23;7,94;10,09;7,41;42,53;6,53;16,94;6,22;55,15;5,87;5,63;3,86;5,44;8,14;2,18;6,67;4,47;1,52;3,19;6,11;1,5;13,07;8,69;6,53;7,77;6,71;2,89;3,13;2,7;3,84;2,03;2,57;2,26;3,89;1,82;2,05;1,41;1,69;1,23;0,79;0,6;1,39;0,55;0,99;0,93;0,55;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;209;455;333;277;95;178;224;177;204;180;374;188;0;0;0;0;0;0;0;0;0;0;0;0;0
5;ARDANOWSKI Jan Krzysztof;MYRCHA Arkadiusz;GEMBICKA Anna Urszula;SCHEURING-WIELGUS Joanna Izabela;BOROWIAK Joanna Beata;LENZ Tomasz;SZRAMKA Pawe≥;GIRZY—SKI Zbigniew;SZYMA—SKI Tomasz JÛzef;MICHA£EK Iwona Krystyna;KWIATKOWSKI Robert Artur;KA£UØNY Mariusz Piotr;HARTWICH Iwona;MENTZEN S≥awomir Jerzy;SOBECKA Anna Eløbieta;SOSNOWSKI Zbigniew;£UCZAK Krystian Marek;CZABA—SKI Krzysztof;KOWAL Piotr;DRAB Marzenna Stefania;TERMI—SKI Przemys≥aw Kazimierz;KOSI—SKI Krzysztof Roman;SKONIECZKA Marcin Seweryn;KOWAROWSKI £ukasz Mariusz;KLIMASZEWSKA-ANTOS Ewa Zofia;1;2;6;2;4;1;1;10;4;3;1;8;3;1;5;2;5;2;4;26;6;13;25;24;20;inøynier rolnictwa;radca prawny;pracownik administracji publicznej;socjolog;nauczyciel akademicki;historyk;specjalista do spraw logistyki;nauczyciel akademicki;pose≥ zawodowy;nauczyciel;przedsiÍbiorca;dyrektor generalny;sprzedawca;doradca podatkowy;nauczyciel;nauczyciel historii;archeolog;dziennikarz;specjalista ds. zintegrowanego systemu zarzπdzania;ekonomista;prawnik;instruktor higieny;ekonomista;urzÍdnik samorzπdowy;lekarz;Krobia;ToruÒ;W≥oc≥awek;ToruÒ;W≥oc≥awek;ToruÒ;Brodnica;ToruÒ;Grudziπdz;ToruÒ;Piaseczno;Che≥møa;ToruÒ;ToruÒ;ToruÒ;åwiedziebnia;W≥oc≥awek;Warszawa;W≥oc≥awek;Grudziπdz;Papowo ToruÒskie-Osieki;Grudziπdz;Wieldzπdz;Grudziπdz;Biskupice;76267;32439;15305;26092;15200;26044;14404;12293;11845;11130;13940;10984;10865;16892;9444;9839;10366;5413;9617;4326;4144;3885;3983;4347;2821;41,76;27,14;8,38;38,9;8,32;21,79;29,26;6,73;9,91;6,09;20,78;6,01;9,09;59,01;5,17;19,99;8,67;2,96;14,34;2,37;3,47;2,13;3,33;6,48;1,54;16,86;7,17;3,38;5,77;3,36;5,76;3,18;2,72;2,62;2,46;3,08;2,43;2,4;3,73;2,09;2,18;2,29;1,2;2,13;0,96;0,92;0,86;0,88;0,96;0,62;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;8;260;100;331;29;212;375;102;381;243;205;152;131;0;0;0;0;0;0;0;0;0;0;0;0
6;CZARNEK Przemys≥aw;TU£AJEW Sylwester Karol;MUCHA Joanna;SOBO— Artur;SKWAREK S≥awomir;MAS£OWSKA Gabriela;WCIS£O Marta Anna;CHOMA Kazimierz Bogus≥aw;£OPATA Jan Zbigniew;KANTHAK Jan Jakub;CZERNIAK Jacek Andrzej;KULESZA Jakub;BIELECKI Jerzy Feliks;KRAWCZYK Micha≥ Mateusz;SZULOWSKI Krzysztof;G£UCHOWSKI Krzysztof;SPRAWKA Lech Stanis≥aw;NAKONIECZNY Pawe≥ Krzysztof;KOWALCZYK Leszek;KOS Marek;BOGACKA Teresa;KA£ASKA Adam Krzysztof;D£UGOSZ Magdalena Anna;BABISZ Krzysztof;ZYBA£A Ewa;2;1;1;4;8;3;3;14;1;30;1;1;10;2;6;7;5;4;13;2;11;9;2;6;21;wyøszy urzÍdnik administracji rzπdowej;informatyk;ekonomistka;parlamentarzysta;parlamentarzysta;parlamentarzysta;przedstawiciel w≥adzy samorzπdowej;urzÍdnik paÒstwowy;parlamentarzysta;prawnik;politolog;konsultant do spraw systemÛw teleinformatycznych;parlamentarzysta;przedstawiciel w≥adzy samorzπdowej;lekarz weterynarii;parlamentarzysta;parlamentarzysta;przedsiÍbiorca;przedstawiciel w≥adzy samorzπdowej;lekarz medycyny;kanclerz wyøszej uczelni;przedsiÍbiorca;nauczycielka akademicka;nauczyciel;przedstawiciel w≥adzy samorzπdowej;Natalin;Lublin;Lublin;åwidnik;AdamÛw;Lublin;Lublin;Kraúnik;Motycz;GdaÒsk;Lublin;Pu≥awy;JanÛw Lubelski;Lublin;Janowiec;AleksandrÛw;Uniszowice;Go≥πb;Ryki;Kraúnik;Lublin;Ryki;Lublin;Kraúnik;LisÛw;87343;54915;57577;28381;15544;14446;15062;13777;13346;12803;17720;24406;10286;8408;9764;8406;7103;4123;6020;6145;5777;5672;9824;3008;5559;27,88;17,53;52,73;9,06;4,96;4,61;13,79;4,4;25,93;4,09;40,13;61;3,28;7,7;3,12;2,68;2,27;3,78;1,92;11,94;1,84;1,81;22,25;2,75;1,77;15,44;9,71;10,18;5,02;2,75;2,55;2,66;2,44;2,36;2,26;3,13;4,32;1,82;1,49;1,73;1,49;1,26;0,73;1,06;1,09;1,02;1;1,74;0,53;0,98;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;53;402;255;349;345;236;419;42;223;155;56;201;23;185;376;0;0;0;0;0;0;0;0;0;0
7;SASIN Jacek Robert;ZAWIåLAK S≥awomir;DUSZEK Marcin Kamil;STEFANIUK Dariusz Pawe≥;HAIDAR Riad;D•BROWSKA-BANASZEK Anna;SACHAJKO Jaros≥aw;ZIELI—SKI Tomasz Andrzej;HA£AS Teresa;STRZA£KA Beata Ma≥gorzata;GRABCZUK Krzysztof;PAW£OWSKA Monika Jolanta;ROMANOWSKI Marcin;SKIBA Leszek Marcin;BRATKOWSKI Arkadiusz Tomasz;TUMANOWICZ Witold S≥awomir;GA£ASZKIEWICZ Krzysztof Jan;KUSIAK-JANIEC Anna;ØMIJAN Stanis≥aw;CICHOSZ Lucjan;ZA—KO Mariusz Artur;SZWAJ Jerzy Ryszard;LITWINIUK Przemys≥aw;GMYZ Maria;ZWOLAK Rafa≥ Mariusz;1;2;3;6;1;24;1;5;4;13;4;1;7;10;2;1;14;16;2;8;20;17;3;11;6;urzÍdnik;parlamentarzysta;parlamentarzysta;wyøszy urzÍdnik samorzπdowy;lekarz medycyny;lekarz medycyny;ekonomista;parlamentarzysta;parlamentarzysta;przedstawiciel w≥adzy samorzπdowej;nauczyciel akademicki;specjalista do spraw stosunkÛw miÍdzynarodowych;prawnik;ekonomista;nauczyciel przedmiotÛw zawodowych technicznych;grafik komputerowy;inøynier rolnictwa;urzÍdnik;inøynier budownictwa;lekarz weterynarii;prawnik;lekarz weterynarii;radca prawny;przedstawiciel w≥adzy samorzπdowej;socjolog;Zπbki;P≥oskie;MiÍdzyrzec Podlaski;Bia≥a Podlaska;Bia≥a Podlaska;Che≥m;ZamoúÊ;TomaszÛw Lubelski;Topola;Bi≥goraj;Che≥m;Bia≥a Podlaska;Bi≥goraj;Warszawa;Miπczyn Stacja;Lublin;HoryszÛw Stara Kolonia;HrubieszÛw;MiÍdzyrzec Podlaski;ØÛ≥kiew Kolonia;W≥odawa;Parczew;MiÍdzyrzec Podlaski;ZamoúÊ;ZamoúÊ;91241;24346;16017;15070;21483;13787;10651;10207;8622;7785;15452;12916;7436;6007;6215;10487;5211;4412;6621;4128;3647;2936;5409;2918;4811;38,21;10,2;6,71;6,31;36,17;5,77;22,37;4,27;3,61;3,26;26,01;47,13;3,11;2,52;13,06;44,74;2,18;1,85;11,15;1,73;1,53;1,23;11,36;1,22;8,1;22,74;6,07;3,99;3,76;5,35;3,44;2,65;2,54;2,15;1,94;3,85;3,22;1,85;1,5;1,55;2,61;1,3;1,1;1,65;1,03;0,91;0,73;1,35;0,73;1,2;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Tak;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;Nie;328;444;70;359;127;62;325;450;128;361;118;289;0;0;0;0;0;0;0;0;0;0;0;0;0
